Account,Token Account,Quantity,Percentage
25WfAyrDw52N5RtE1ux2wFNUAqp4TxNidt154VoS7yCR,3BiGJrTSLfmgWGULScMZWXRL6SjdNDkC18D3PURK2mRG,2432411.66,0.24
GHkJxevt1b1kkdJcV2Fhbx3VU6qTrMTqT3pnS5XnjEA1,BKUgR98yC1jGb1AvL9dFFyKc7Hfob5SzcKetv2S8LFs6,2333072.51,0.23
SzWTCLYzzGj5ngaPzXMG5WhrsHKZbusWjMW6gnBTh3C,5o7thBQKM8RzYKHdLchXLjVso5e2HmxaEy9oFXWdZkCa,2324096.56,0.23
2bWmPXGACPkAVyiP9zMXc895cBRpAPePtASLL75vLQdb,36hdUhhrXn4vWHvDQLQjDbgPcfsVKpRDffb2Ftygv14P,2103597.38,0.21
C55hJ3d3WxcJgV8yTdZwVcVevCY3QidATheV83prWTS9,AgYjQG2kFQauFcJhzBHFfDjSRwm9SmifEGS7Aee4tHua,1917267.58,0.19
HpgBhEy6bLpDtRVdKmYYHJ55mn8dty6B9eqdj5Z3PuiH,A1tQbYsxDW36QCeMUFxM4w1LijSvJiDmU9XzyEuGDER9,1816463.14,0.18
DeCwfNcZEkgi21xhnex8mFMDinvnvxbdBDkzrSUryBxn,77Wg5h8h56WZKhdeG4cUGGwzqUqBk5yMqTRpAwoncXVP,1799069.64,0.18
9S8XqgQc1HDewMEFZtJYhV6P2xm6TTbkbHssr6RWFqBe,FEgNhzXpczQzhNUpUUrFNosefg6XjXsw8FShurmNMR8J,1718245.06,0.17
8yLdVewSde3bGXECefwyRE1SFNpMp84t6KWcLYwTr582,4GSvBp5qdLcQnyLpJBwLEReqL1FNcqFwgyeBMcPvJAJz,1675219.33,0.17
GC2SdCtraU7ULJ9ib3p9R3brqpqAAm2tVRBwm4XrkXR,3PCq3aLBjM9KGDoWsn25mCKQXzNsMxL5XevGvAig8HyK,1506533.74,0.15
ESx5hLe1r2micAL2NNTPEjXGLpWmpuh7tnNUrTs5inR6,EqhjPAFYRFuHEDW1kQbqTpmiF4odwGDBsqdsgHs4EBqT,1482036.45,0.15
F5SR6GdLg2CxS2DU1VjLaRGiWLRYjy7AWV89bnP5XPeW,DvrDbPoRR2wj6oyDdmmZM3fDVnh8dmWrPGU9Jf9jf8Ps,1437882.38,0.14
J34QRkKNWNQ9XpeXFPhtuyCkzPB3NZ7CzqVfjDVVtXUK,AtdSoSqMgMrPmtLyf1pvAhzPew8fThJqmg3WNVs7LUE5,1254537.27,0.13
5ihGPpYekGunhAFA7s2FgS6W39PppXeTSgK2EpfZHppT,A6Z6ETMrxph8Hr8Bjf8Y9rsMAJsVyzzw3KAxT4mh6UX6,1254359.79,0.13
38DkaAZQWBEfWkLyRWoQRsqHGqgvx7SNdX19iaou1tRK,4oVqtquYiG92bxnQS5rAK96DabMvt7ycvB45VGDwqgWg,1082539.37,0.11
D5qnX9cqDHtwga5YQ6cXWbTW2j7xFb6hAo9aV65ZGmUA,574ayk9Y91EaJ5HHsXQq5XCSzNnthjpe7DtWkfURjnAt,1033250.68,0.1
12NWJw2puLLVoAegykzcTwbjWjbPszLL1AAhq4yXW8X3,ASswPQ1w6rT4MUD5GdnZVaMR3ihtwS9okPMvhKDpLXFH,1003034.75,0.1
JLtE7r5UifhU7ENBJMVHqQ1ufU92ttMLLbRWhgTuBaW,GdBXcjHDdSHUnLCHr1kvNLcPNGhQhF37pwfTdiq1rx6x,1000355.98,0.1
BX8dBXtmyuJN8m2CnAJSwTDff1yESKRw7x5okb6YGR6x,36WdD2kwZRQXf6ZVeCXWozMYoMWLdZRe9LbV6qS8QSBS,999899.44,0.1
4yLBXpTtifWbCFJqzX9tHFdmty2fmjmqSf68XSwy5k2R,13qW7WHNPDvXZmtqLuWUp6MiHX4dLUEUC7c21FjseDJE,982287.33,0.1
ES22wKxX5Z8Vjc1pkuDCSXwNauMw47yUqtL1SmJmQxno,Dm5qS2e1SyPnzj6FE8j5X1bfTksFxwLxASEVAgdjCmLW,979715.79,0.1
